品种：苹果AP     日期：2021-04-06,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
1,平安期货,"14,988",900,中信期货,"15,643",897
2,中信期货,"12,865",789,银河期货,"15,456","2,580"
3,银河期货,"11,605","2,662",五矿经易期货,"10,577",-209
4,东证期货,"10,613","4,104",东证期货,"10,518","2,256"
5,国泰君安,"7,775",674,国泰君安,"8,651","1,090"
6,国投安信期货,"6,044",30,国投安信期货,"7,582",497
7,华融融达期货,"5,519",-258,中原期货,"5,636",392
8,永安期货,"4,537",899,永安期货,"5,523","-1,019"
9,五矿经易期货,"4,092",-572,华泰期货,"4,545",-786
10,国贸期货,"4,020",77,华融融达期货,"4,474",-74
11,中粮期货,"4,006","1,656",东兴期货,"4,393",165
12,浙商期货,"3,877","-1,412",一德期货,"4,097",-628
13,华泰期货,"3,806","-1,729",兴证期货,"3,806",579
14,宏源期货,"3,785",47,华闻期货,"3,781",-483
15,新湖期货,"3,404","-1,178",宏源期货,"3,722",178
16,兴证期货,"3,352","-1,563",新湖期货,"3,595","-1,133"
17,华闻期货,"3,261",-372,中粮期货,"3,164",689
18,申银万国,"3,259","-1,086",光大期货,"2,767",-18
19,光大期货,"2,988",257,海通期货,"2,651",222
20,徽商期货,"2,798",37,国贸期货,"2,300",-254
合计,,"116,594","3,962",,"122,881","4,941"
品种：锰硅SM     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,中信期货,"17,343",-548,中信期货,"22,813","-1,131"
2,浙商期货,"15,558","2,077",国泰君安,"14,431",622
3,国泰君安,"9,025",99,银河期货,"13,241",-813
4,五矿经易期货,"8,751",678,华泰期货,"9,032","2,567"
5,东证期货,"7,178",443,东证期货,"8,124",-667
6,国投安信期货,"6,785",-169,兴证期货,"6,377",324
7,银河期货,"6,499","1,337",五矿经易期货,"5,823",-483
8,永安期货,"5,907",745,申银万国,"4,251",-110
9,东兴期货,"5,562",627,海通期货,"4,126","1,587"
10,上海中期,"5,494",445,永安期货,"4,101",44
11,一德期货,"5,352",290,宏源期货,"3,935",-455
12,华泰期货,"5,269",426,国海良时,"3,893",-197
13,国贸期货,"5,037",528,中电投先融,"3,272",810
14,申银万国,"4,765",164,美尔雅,"3,148",610
15,广发期货,"4,289","2,076",东兴期货,"3,068",816
